"PM 1";"PM2.5";"PM 10";"Time"
" 2";" 2";" 3";"2:08:23 PM"
" 0";" 2";" 2";"2:08:53 PM"
"";"";"";"2:09:23 PM"
" 1";" 2";" 3";"2:09:24 PM"
" 0";" 2";" 2";"2:09:54 PM"
"";"";"";"2:10:24 PM"
" 2";" 2";" 3";"2:10:24 PM"
" 2";" 2";" 3";"2:10:54 PM"
"";"";"";"2:11:24 PM"
" 2";" 2";" 3";"2:11:24 PM"
" 1";" 2";" 2";"2:11:54 PM"
"";"";"";"2:12:24 PM"
" 2";" 2";" 3";"2:12:24 PM"
" 2";" 2";" 3";"2:12:54 PM"
"";"";"";"2:13:24 PM"
" 2";" 2";" 3";"2:13:24 PM"
" 2";" 2";" 2";"2:13:54 PM"
"";"";"";"2:14:24 PM"
" 2";" 2";" 2";"2:14:24 PM"
" 2";" 2";" 3";"2:14:54 PM"
"";"";"";"2:15:24 PM"
" 2";" 2";" 3";"2:15:24 PM"
" 2";" 2";" 2";"2:15:54 PM"
"";"";"";"2:16:24 PM"
" 2";" 2";" 2";"2:16:25 PM"
" 2";" 2";" 3";"2:16:55 PM"
"";"";"";"2:17:25 PM"
" 2";" 2";" 3";"2:17:25 PM"
" 2";" 2";" 2";"2:17:55 PM"
"";"";"";"2:18:25 PM"
" 1";" 2";" 2";"2:18:25 PM"
" 1";" 2";" 2";"2:18:55 PM"
"";"";"";"2:19:25 PM"
" 2";" 2";" 3";"2:19:25 PM"
" 2";" 2";" 3";"2:19:55 PM"
"";"";"";"2:20:25 PM"
" 2";" 2";" 2";"2:20:25 PM"
" 2";" 2";" 3";"2:20:55 PM"
"";"";"";"2:21:25 PM"
" 1";" 2";" 3";"2:21:25 PM"
" 1";" 2";" 3";"2:21:55 PM"
"";"";"";"2:22:25 PM"
" 1";" 2";" 4";"2:22:26 PM"
" 1";" 2";" 3";"2:22:56 PM"
"";"";"";"2:23:26 PM"
" 0";" 2";" 2";"2:23:26 PM"
" 1";" 2";" 2";"2:26:34 PM"
" 1";" 2";" 1";"2:26:49 PM"
"";"";"";"2:27:04 PM"
" 1";" 2";" 2";"2:27:05 PM"
" 1";" 2";" 2";"2:27:20 PM"
"";"";"";"2:27:35 PM"
" 1";" 2";" 2";"2:27:35 PM"
" 1";" 2";" 2";"2:27:50 PM"
"";"";"";"2:28:05 PM"
" 1";" 2";" 2";"2:28:06 PM"
" 1";" 2";" 3";"2:28:21 PM"
"";"";"";"2:28:36 PM"
" 3";" 2";" 5";"2:28:36 PM"
" 3";" 2";" 5";"2:28:51 PM"
"";"";"";"2:29:06 PM"
" 1";" 2";" 3";"2:29:07 PM"
" 2";" 2";" 4";"2:29:22 PM"
"";"";"";"2:29:37 PM"
" 2";" 2";" 4";"2:29:37 PM"
" 2";" 2";" 4";"2:29:52 PM"
"";"";"";"2:30:07 PM"
" 1";" 2";" 2";"2:30:08 PM"
" 1";" 2";" 2";"2:30:23 PM"
"";"";"";"2:30:38 PM"
" 2";" 2";" 4";"2:30:38 PM"
" 2";" 2";" 4";"2:30:53 PM"
"";"";"";"2:31:08 PM"
" 2";" 2";" 3";"2:31:09 PM"
" 2";" 2";" 3";"2:31:24 PM"
"";"";"";"2:31:39 PM"
" 1";" 2";" 2";"2:31:39 PM"
" 1";" 2";" 2";"2:31:54 PM"
"";"";"";"2:32:09 PM"
" 2";" 2";" 3";"2:32:10 PM"
" 2";" 2";" 3";"2:32:25 PM"
"";"";"";"2:32:40 PM"
" 2";" 2";" 4";"2:32:40 PM"
" 2";" 2";" 4";"2:32:55 PM"
"";"";"";"2:33:10 PM"
" 3";" 2";" 5";"2:33:11 PM"
" 3";" 2";" 5";"2:33:26 PM"
"";"";"";"2:33:41 PM"
" 2";" 2";" 3";"2:33:41 PM"
" 2";" 2";" 3";"2:33:56 PM"
"";"";"";"2:34:11 PM"
" 1";" 2";" 2";"2:34:12 PM"
" 1";" 2";" 2";"2:34:27 PM"
"";"";"";"2:34:42 PM"
" 2";" 2";" 4";"2:34:42 PM"
" 2";" 2";" 4";"2:34:57 PM"
"";"";"";"2:35:12 PM"
" 2";" 2";" 3";"2:35:13 PM"
" 2";" 2";" 3";"2:35:28 PM"
"";"";"";"2:35:43 PM"
" 3";" 2";" 4";"2:35:43 PM"
" 3";" 2";" 4";"2:35:58 PM"
"";"";"";"2:36:13 PM"
" 2";" 2";" 3";"2:36:14 PM"
" 2";" 2";" 3";"2:36:29 PM"
"";"";"";"2:36:44 PM"
" 2";" 2";" 3";"2:36:44 PM"
" 1";" 2";" 2";"2:36:59 PM"
"";"";"";"2:37:14 PM"
" 2";" 2";" 4";"2:37:15 PM"
" 2";" 2";" 4";"2:37:30 PM"
"";"";"";"2:37:45 PM"
" 1";" 2";" 2";"2:37:45 PM"
" 1";" 2";" 2";"2:38:00 PM"
"";"";"";"2:38:15 PM"
" 2";" 2";" 3";"2:38:16 PM"
" 2";" 2";" 3";"2:38:31 PM"
"";"";"";"2:38:46 PM"
" 0";" 2";" 2";"2:38:46 PM"
" 1";" 2";" 2";"2:39:01 PM"
"";"";"";"2:39:16 PM"
" 2";" 2";" 3";"2:39:17 PM"
" 2";" 2";" 3";"2:39:32 PM"
"";"";"";"2:39:47 PM"
" 1";" 2";" 3";"2:39:47 PM"
" 1";" 2";" 3";"2:40:02 PM"
"";"";"";"2:40:17 PM"
" 1";" 2";" 2";"2:40:18 PM"
" 1";" 2";" 2";"2:40:33 PM"
"";"";"";"2:40:48 PM"
" 2";" 2";" 2";"2:40:48 PM"
" 2";" 2";" 2";"2:41:04 PM"
"";"";"";"2:41:18 PM"
" 1";" 2";" 3";"2:41:19 PM"
" 1";" 2";" 3";"2:41:34 PM"
"";"";"";"2:41:49 PM"
" 1";" 2";" 2";"2:41:49 PM"
" 1";" 2";" 1";"2:42:05 PM"
"";"";"";"2:42:19 PM"
" 1";" 2";" 2";"2:42:20 PM"
" 1";" 2";" 2";"2:42:35 PM"
"";"";"";"2:42:50 PM"
" 2";" 2";" 2";"2:42:51 PM"
" 2";" 2";" 2";"2:43:06 PM"
"";"";"";"2:43:21 PM"
" 2";" 2";" 2";"2:43:21 PM"
" 2";" 2";" 2";"2:43:36 PM"
"";"";"";"2:43:51 PM"
" 1";" 2";" 2";"2:43:52 PM"
" 1";" 2";" 2";"2:44:07 PM"
"";"";"";"2:44:22 PM"
" 1";" 2";" 4";"2:44:22 PM"
" 1";" 2";" 4";"2:44:37 PM"
"";"";"";"2:44:52 PM"
" 1";" 2";" 3";"2:44:53 PM"
" 2";" 2";" 4";"2:45:08 PM"
"";"";"";"2:45:23 PM"
" 1";" 2";" 3";"2:45:23 PM"
" 1";" 2";" 3";"2:45:38 PM"
"";"";"";"2:45:53 PM"
" 1";" 2";" 3";"2:45:54 PM"
" 1";" 2";" 3";"2:46:09 PM"
"";"";"";"2:46:24 PM"
" 0";" 2";" 1";"2:46:24 PM"
