"HUM;""Temp"";""GAS"";""Time"""
"17.00%;""21.00°"";"" 28.37"";""1:56:56 PM"""
"17.00%;""21.00°"";"" 26.49"";""1:57:11 PM"""
"17.00%;""21.00°"";"" 26.49"";""1:57:26 PM"""
"17.00%;""21.00°"";"" 23.00"";""1:57:42 PM"""
"17.00%;""21.00°"";"" 27.86"";""1:58:05 PM"""
"17.00%;""21.00°"";"" 27.86"";""1:58:21 PM"""
"17.00%;""21.00°"";"" 27.86"";""1:58:36 PM"""
"17.00%;""21.00°"";"" 24.03"";""1:58:51 PM"""
"17.00%;""21.00°"";"" 24.03"";""1:59:07 PM"""
"17.00%;""21.00°"";"" 24.03"";""1:59:22 PM"""
"17.00%;""21.00°"";"" 24.03"";""1:59:37 PM"""
"17.00%;""21.00°"";"" 24.03"";""1:59:53 PM"""
"17.00%;""21.00°"";"" 24.03"";""2:00:08 PM"""
"17.00%;""21.00°"";"" 28.54"";""2:00:32 PM"""
"17.00%;""22.00°"";"" 26.39"";""2:00:47 PM"""
"17.00%;""22.00°"";"" 26.39"";""2:01:02 PM"""
"17.00%;""22.00°"";"" 28.75"";""2:01:33 PM"""
"17.00%;""22.00°"";"" 28.75"";""2:01:49 PM"""
"17.00%;""22.00°"";"" 30.10"";""2:02:39 PM"""
"17.00%;""22.00°"";"" 28.92"";""2:03:25 PM"""
"17.00%;""22.00°"";"" 28.92"";""2:03:40 PM"""
"17.00%;""22.00°"";"" 28.92"";""2:03:59 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:04:14 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:04:30 PM"""
"17.00%;""22.00°"";"" 28.92"";""2:04:45 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:05:00 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:05:16 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:05:31 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:05:46 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:06:02 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:06:17 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:06:32 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:06:48 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:07:03 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:07:18 PM"""
"17.00%;""22.00°"";"" 28.92"";""2:07:34 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:07:49 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:08:04 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:08:19 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:08:35 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:08:50 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:09:05 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:09:21 PM"""
"17.00%;""22.00°"";"" 24.48"";""2:09:36 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:09:51 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:10:07 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:10:22 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:10:37 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:10:53 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:11:08 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:11:23 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:11:39 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:11:54 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:12:09 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:12:24 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:12:40 PM"""
"17.00%;""22.00°"";"" 24.48"";""2:12:55 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:13:10 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:13:26 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:13:41 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:13:56 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:14:12 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:14:27 PM"""
"17.00%;""22.00°"";"" 26.63"";""2:14:42 PM"""
"17.00%;""22.00°"";"" 24.48"";""2:14:57 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:15:13 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:15:28 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:15:43 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:15:59 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:16:14 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:16:29 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:16:45 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:17:00 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:17:15 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:17:31 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:17:46 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:18:01 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:18:17 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:18:32 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:18:47 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:19:02 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:19:18 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:19:33 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:19:48 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:20:04 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:20:19 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:20:34 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:20:50 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:21:05 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:21:20 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:21:36 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:21:51 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:06 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:22 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:37 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:52 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:23:07 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:23:23 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:23:38 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:23:53 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:24:09 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:24:24 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:24:39 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:24:55 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:25:10 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:25:25 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:25:41 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:25:56 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:26:11 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:26:26 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:26:42 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:26:57 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:27:12 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:27:28 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:27:43 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:27:58 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:28:14 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:28:29 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:28:44 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:29:00 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:29:15 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:29:30 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:29:46 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:30:01 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:30:16 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:30:31 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:30:47 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:31:02 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:31:17 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:31:33 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:31:48 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:32:03 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:32:19 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:32:34 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:32:49 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:33:05 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:33:20 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:33:35 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:33:51 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:34:06 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:34:21 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:34:36 PM"""
"16.00%;""24.00°"";"" 22.44"";""2:34:52 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:35:07 PM"""
"16.00%;""24.00°"";"" 22.44"";""2:35:22 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:35:38 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:35:53 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:36:08 PM"""
"16.00%;""24.00°"";"" 22.44"";""2:36:24 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:36:39 PM"""